# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.commit.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1758346260046000000,1758346274500000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1758346260046000000,1758346274500000000,0
DirectByteBufferAllocator.reclaimed,1758346260046000000,1758346274500000000,43
DirectByteBufferAllocator.misses,1758346260046000000,1758346274500000000,178
FilePageCache.capacityInBytes,1758346260046000000,1758346274500000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1758346260046000000,1758346274500000000,41943040
FilePageCache.maxCacheSizeInBytes,1758346260046000000,1758346274500000000,186646528
StorageLockContext.competingThreads.max,1758346260046000000,1758346274500000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1758346260046000000,1758346274500000000,0
FilePageCache.disposedBuffers,1758346260046000000,1758346274500000000,181
FilePageCache.maxRegisteredFiles,1758346260046000000,1758346274500000000,427
StorageLockContext.competingThreads.avg,1758346260046000000,1758346274500000000,0.0
DirectByteBufferAllocator.hits,1758346260046000000,1758346274500000000,3
StorageLockContext.competingThreads.90P,1758346260046000000,1758346274500000000,0
FilePageCache.pageLoads,1758346260046000000,1758346274500000000,181
FilePageCache.pageLoadsAboveSizeThreshold,1758346260046000000,1758346274500000000,0
DirectByteBufferAllocator.disposed,1758346260046000000,1758346274500000000,138
FilePageCache.totalPageLoadsUs,1758346260046000000,1758346274500000000,376606
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1758346260046000000,1758346274500000000,41943040
FilePageCache.totalPageDisposalsUs,1758346260046000000,1758346274500000000,16739
FilePageCache.pageHits,1758346260046000000,1758346274500000000,0
FilePageCache.uncachedFileAccess,1758346260046000000,1758346274500000000,82
