# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleBridge.facet.initialization.ms,1758347646523000000,1758347660781000000,46
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1758347646523000000,1758347660781000000,12
workspaceModel.mutableEntityStorage.modify.entity.ms,1758347646523000000,1758347660781000000,8
jps.artifact.entities.serializer.save.entities.ms,1758347646523000000,1758347660781000000,0
jps.project.serializers.save.ms,1758347646523000000,1758347660781000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1758347646523000000,1758347660781000000,8
jps.load.project.to.empty.storage.ms,1758347646523000000,1758347660781000000,108
jps.module.iml.entities.serializer.load.entities.ms,1758347646523000000,1758347660781000000,32
workspaceModel.mutableEntityStorage.has.same.entities.ms,1758347646523000000,1758347660781000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1758347646523000000,1758347660781000000,144
jps.app.storage.content.reader.load.component.ms,1758347646523000000,1758347660781000000,5
workspaceModel.moduleManagerBridge.load.all.modules.ms,1758347646523000000,1758347660781000000,33
jps.app.storage.content.writer.save.component.ms,1758347646523000000,1758347660781000000,10
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1758347646523000000,1758347660781000000,2
workspaceModel.load.cache.from.file.ms,1758347646523000000,1758347660781000000,183
jps.project.serializers.load.ms,1758347646523000000,1758347660781000000,54
workspaceModel.load.cache.metadata.from.file.ms,1758347646523000000,1758347660781000000,22
jps.library.entities.serializer.save.entities.ms,1758347646523000000,1758347660781000000,0
jps.facet.change.listener.init.bridge.ms,1758347646523000000,1758347660781000000,1
jps.library.entities.serializer.load.entities.ms,1758347646523000000,1758347660781000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1758347646523000000,1758347660781000000,1
jps.save.changed.project.entities.ms,1758347646523000000,1758347660781000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1758347646523000000,1758347660781000000,4
jps.load.initial.state.ms,1758347646523000000,1758347660781000000,20
workspaceModel.mutableEntityStorage.resolve.ms,1758347646523000000,1758347660781000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1758347646523000000,1758347660781000000,2
workspaceModel.global.updates.count,1758347646523000000,1758347660781000000,2
jps.artifact.entities.serializer.load.entities.ms,1758347646523000000,1758347660781000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1758347646523000000,1758347660781000000,3
workspaceModel.global.updates.ms,1758347646523000000,1758347660781000000,67
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1758347646523000000,1758347660781000000,1
workspaceModel.save.cache.to.file.ms,1758347646523000000,1758347660781000000,153
jps.reload.project.entities.ms,1758347646523000000,1758347660781000000,0
jps.facet.change.listener.process.change.events.ms,1758347646523000000,1758347660781000000,3
jps.global.handle.changed.events.ms,1758347646523000000,1758347660781000000,0
jps.global.get.libraries.ms,1758347646523000000,1758347660781000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1758347646523000000,1758347660781000000,0
workspaceModel.orphan.listener.update.ms,1758347646523000000,1758347660781000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1758347646523000000,1758347660781000000,0
workspaceModel.global.apply.state.to.project.ms,1758347646523000000,1758347660781000000,189
workspaceModel.mutableEntityStorage.instances.count,1758347646523000000,1758347660781000000,32
workspaceModel.mutableEntityStorage.collect.changes.ms,1758347646523000000,1758347660781000000,1
workspaceModel.mutableEntityStorage.entities.ms,1758347646523000000,1758347660781000000,0
jps.global.handle.before.change.events.ms,1758347646523000000,1758347660781000000,0
jps.global.get.library.ms,1758347646523000000,1758347660781000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1758347646523000000,1758347660781000000,229
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1758347646523000000,1758347660781000000,0
jps.global.initialize.library.bridges.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1758347646523000000,1758347660781000000,5
workspaceModel.mutableEntityStorage.referrers.ms,1758347646523000000,1758347660781000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1758347646523000000,1758347660781000000,0
jps.apply.loaded.storage.ms,1758347646523000000,1758347660781000000,27
jps.facet.change.listener.before.change.events.ms,1758347646523000000,1758347660781000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1758347646523000000,1758347660781000000,0
jps.save.global.entities.ms,1758347646523000000,1758347660781000000,34
jps.global.get.library.by.name.ms,1758347646523000000,1758347660781000000,0
jps.module.iml.entities.serializer.save.entities.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1758347646523000000,1758347660781000000,1
jps.storage.jps.conf.reader.load.component.ms,1758347646523000000,1758347660781000000,1
workspaceModel.do.save.caches.ms,1758347646523000000,1758347660781000000,133
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1758347646523000000,1758347660781000000,0
jps.global.initialize.library.bridges.after.loading.ms,1758347646523000000,1758347660781000000,1
workspaceModel.moduleBridge.before.changed.ms,1758347646523000000,1758347660781000000,0
workspaceModel.moduleBridge.update.option.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1758347646523000000,1758347660781000000,20
workspaceModel.moduleManagerBridge.load.module.ms,1758347646523000000,1758347660781000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1758347646523000000,1758347660781000000,35
workspaceModel.sync.entities.ms,1758347646523000000,1758347660781000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1758347646523000000,1758347660781000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1758347646523000000,1758347660781000000,0
Indexes.stubs.lookupDuration90PMs,1758347646523000000,1758347660781000000,0.0
Indexing.cache.totalCacheEvicted,1758347646523000000,1758347660781000000,16002
Indexing.writesQueuedMin,1758347646523000000,1758347660781000000,9223372036854775807
Indexing.cache.totalCacheMisses,1758347646523000000,1758347660781000000,16002
Indexes.entries.lookupDurationMaxMs,1758347646523000000,1758347660781000000,0.0
Indexing.totalTimeIndexersSleptMs,1758347646523000000,1758347660781000000,0
Indexes.entries.lookupDurationAvgMs,1758347646523000000,1758347660781000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1758347646523000000,1758347660781000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1758347646523000000,1758347660781000000,0
Indexes.stubs.lookups,1758347646523000000,1758347660781000000,16
Indexing.writesQueuedMax,1758347646523000000,1758347660781000000,0
Indexes.allKeys.lookupDuration90PMs,1758347646523000000,1758347660781000000,0.0
