# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.dropMappings.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactManagerBridge.commit.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1758347617911000000,1758347640532000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1758347617911000000,1758347640532000000,0
cacheStateStorage.set.counter,1758347617911000000,1758347640532000000,53
cacheStateStorage.get.duration,1758347617911000000,1758347640532000000,0
cacheStateStorage.get.counter,1758347617911000000,1758347640532000000,15
cacheStateStorage.set.duration,1758347617911000000,1758347640532000000,65
workspaceModel.pre.handlers.ms,1758347617911000000,1758347640532000000,1
workspaceModel.replace.project.model.ms,1758347617911000000,1758347640532000000,0
workspaceModel.cachedValue.calculated.count,1758347617911000000,1758347640532000000,19
workspaceModel.cachedValue.total.get.count,1758347617911000000,1758347640532000000,93
workspaceModel.to.snapshot.ms,1758347617911000000,1758347640532000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1758347617911000000,1758347640532000000,659
workspaceModel.loading.from.cache.ms,1758347617911000000,1758347640532000000,33
workspaceModel.cachedValueWithParameters.calculated.count,1758347617911000000,1758347640532000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1758347617911000000,1758347640532000000,0
workspaceModel.cachedValue.from.cache.count,1758347617911000000,1758347640532000000,74
workspaceModel.on.changed.ms,1758347617911000000,1758347640532000000,70
workspaceModel.workspaceFileIndexData.markDirty.ms,1758347617911000000,1758347640532000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1758347617911000000,1758347640532000000,21
workspaceModel.update.unloaded.entities.ms,1758347617911000000,1758347640532000000,0
workspaceModel.updates.ms,1758347617911000000,1758347640532000000,121
workspaceModel.initializing.ms,1758347617911000000,1758347640532000000,3
workspaceModel.workspaceFileIndexData.instances.count,1758347617911000000,1758347640532000000,1
workspaceModel.full.replace.project.model.ms,1758347617911000000,1758347640532000000,4
workspaceModel.collect.changes.ms,1758347617911000000,1758347640532000000,0
workspaceModel.updates.count,1758347617911000000,1758347640532000000,4
workspaceModel.workspaceFileIndexData.processFileSets.ms,1758347617911000000,1758347640532000000,0
workspaceModel.on.before.changed.ms,1758347617911000000,1758347640532000000,27
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1758347617911000000,1758347640532000000,6
workspaceModel.init.bridges.ms,1758347617911000000,1758347640532000000,3
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1758347617911000000,1758347640532000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1758347617911000000,1758347640532000000,53
workspaceModel.loading.total.ms,1758347617911000000,1758347640532000000,38
workspaceModel.cachedValue.clear.count,1758347617911000000,1758347640532000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1758347617911000000,1758347640532000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1758347617911000000,1758347640532000000,2
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1758347617911000000,1758347640532000000,0
workspaceModel.workspaceFileIndexData.init.ms,1758347617911000000,1758347640532000000,28
workspaceModel.cachedValueWithParameters.clear.count,1758347617911000000,1758347640532000000,0
workspaceModel.check.recursive.update.ms,1758347617911000000,1758347640532000000,0
workspaceModel.updates.precise.ms,1758347617911000000,1758347640532000000,15
workspaceModel.cachedValueWithParameters.total.get.count,1758347617911000000,1758347640532000000,0
Indexes.entries.lookupDuration90PMs,1758347617911000000,1758347640532000000,0.0
Indexes.allKeys.lookupDuration90PMs,1758347617911000000,1758347640532000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1758347617911000000,1758347640532000000,0
Indexing.writesQueuedMax,1758347617911000000,1758347640532000000,0
Indexes.stubs.lookupDuration90PMs,1758347617911000000,1758347640532000000,0.0
Indexes.stubs.lookupDurationMaxMs,1758347617911000000,1758347640532000000,0.0
Indexes.stubs.lookups,1758347617911000000,1758347640532000000,2264
Indexing.totalTimeIndexersSleptMs,1758347617911000000,1758347640532000000,0
Indexing.cache.totalCacheAccesses,1758347617911000000,1758347640532000000,51771
Indexes.entries.lookups,1758347617911000000,1758347640532000000,1
Indexing.cache.totalCacheMisses,1758347617911000000,1758347640532000000,18665
Indexes.allKeys.lookupDurationMaxMs,1758347617911000000,1758347640532000000,0.0
Indexing.cache.totalCacheEvicted,1758347617911000000,1758347640532000000,18665
Indexes.entries.lookupDurationMaxMs,1758347617911000000,1758347640532000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1758347617911000000,1758347640532000000,0
Indexes.stubs.lookupDurationAvgMs,1758347617911000000,1758347640532000000,0.0
Indexing.writesQueuedMin,1758347617911000000,1758347640532000000,9223372036854775807
Indexes.allKeys.lookupDurationAvgMs,1758347617911000000,1758347640532000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1758347617911000000,1758347640532000000,0
Indexes.entries.lookupDurationAvgMs,1758347617911000000,1758347640532000000,0.0
Indexes.allKeys.lookups,1758347617911000000,1758347640532000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1758347617911000000,1758347640532000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1758347617911000000,1758347640532000000,41943040
FilePageCache.pageLoads,1758347617911000000,1758347640532000000,183
FilePageCache.disposedBuffers,1758347617911000000,1758347640532000000,183
FilePageCache.maxRegisteredFiles,1758347617911000000,1758347640532000000,427
FilePageCache.capacityInBytes,1758347617911000000,1758347640532000000,629145600
FileChannelInterruptsRetryer.totalRetriedAttempts,1758347617911000000,1758347640532000000,0
StorageLockContext.competingThreads.90P,1758347617911000000,1758347640532000000,0
FilePageCache.uncachedFileAccess,1758347617911000000,1758347640532000000,84
FilePageCache.totalPageDisposalsUs,1758347617911000000,1758347640532000000,545
FilePageCache.pageFastCacheHits,1758347617911000000,1758347640532000000,38750
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1758347617911000000,1758347640532000000,41943040
StorageLockContext.competingThreads.max,1758347617911000000,1758347640532000000,0
DirectByteBufferAllocator.disposed,1758347617911000000,1758347640532000000,140
DirectByteBufferAllocator.misses,1758347617911000000,1758347640532000000,180
FilePageCache.maxCacheSizeInBytes,1758347617911000000,1758347640532000000,188743680
FilePageCache.pageLoadsAboveSizeThreshold,1758347617911000000,1758347640532000000,0
FilePageCache.totalPageLoadsUs,1758347617911000000,1758347640532000000,235296
StorageLockContext.competingThreads.avg,1758347617911000000,1758347640532000000,0.0
DirectByteBufferAllocator.reclaimed,1758347617911000000,1758347640532000000,43
DirectByteBufferAllocator.hits,1758347617911000000,1758347640532000000,3
FilePageCache.pageHits,1758347617911000000,1758347640532000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1758347617911000000,1758347640532000000,38492
NonBlockingReadAction.failedExecutionTimeUs,1758347617911000000,1758347640532000000,0
NonBlockingReadAction.finalizedExecutionsCount,1758347617911000000,1758347640532000000,11
NonBlockingReadAction.failedExecutionsCount,1758347617911000000,1758347640532000000,0
AWTEventQueue.dispatchTimeTotalNS,1758347617911000000,1758347640532000000,2009149980
VFS.invertedFileNameIndex.requests,1758347617911000000,1758347640532000000,0
VFS.fileByIdCache.misses,1758347617911000000,1758347640532000000,7
VFS.fileChildByName,1758347617911000000,1758347640532000000,2537
VFS.fileByIdCache.hits,1758347617911000000,1758347640532000000,5
VFS.folderCaseSensitivityReads,1758347617911000000,1758347640532000000,5
lexer.HTML.time.ns,1758347617911000000,1758347640532000000,7307155
lexer.HTML.size.bytes,1758347617911000000,1758347640532000000,48021
parser.HTML.size.bytes,1758347617911000000,1758347640532000000,48021
writeAction.count,1758347617911000000,1758347640532000000,26
lexer.Groovy.size.bytes,1758347617911000000,1758347640532000000,20704
parser.Groovy.size.bytes,1758347617911000000,1758347640532000000,20704
parser.HTML.time.ns,1758347617911000000,1758347640532000000,21899032
lexer.Groovy.time.ns,1758347617911000000,1758347640532000000,14485763
writeAction.wait.ms,1758347617911000000,1758347640532000000,36
DiskQueryRelay.taskWaitingTotalTimeUs,1758347617911000000,1758347640532000000,669488
parser.JAVA.time.ns,1758347617911000000,1758347640532000000,20341383
writeAction.median.wait.ms,1758347617911000000,1758347640532000000,0
parser.JAVA.size.bytes,1758347617911000000,1758347640532000000,163
DiskQueryRelay.taskExecutionTotalTimeUs,1758347617911000000,1758347640532000000,372172
lexer.JAVA.time.ns,1758347617911000000,1758347640532000000,1284540
parser.Groovy.time.ns,1758347617911000000,1758347640532000000,133229533
writeAction.max.wait.ms,1758347617911000000,1758347640532000000,13
DiskQueryRelay.tasksRequested,1758347617911000000,1758347640532000000,50431
DiskQueryRelay.tasksExecuted,1758347617911000000,1758347640532000000,50431
lexer.JAVA.size.bytes,1758347617911000000,1758347640532000000,163
