# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.delayed.project.synchronizer.sync.ms,1758346236543000000,1758346255247000000,114
jps.facet.change.listener.init.bridge.ms,1758346236543000000,1758346255247000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1758346236543000000,1758346255247000000,7
workspaceModel.mutableEntityStorage.to.snapshot.ms,1758346236543000000,1758346255247000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1758346236543000000,1758346255247000000,9
jps.library.entities.serializer.load.entities.ms,1758346236543000000,1758346255247000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1758346236543000000,1758346255247000000,15
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1758346236543000000,1758346255247000000,18
jps.module.iml.entities.serializer.load.entities.ms,1758346236543000000,1758346255247000000,26
workspaceModel.mutableEntityStorage.collect.changes.ms,1758346236543000000,1758346255247000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1758346236543000000,1758346255247000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1758346236543000000,1758346255247000000,38
workspaceModel.moduleManagerBridge.get.modules.ms,1758346236543000000,1758346255247000000,0
jps.facet.change.listener.before.change.events.ms,1758346236543000000,1758346255247000000,0
jps.apply.loaded.storage.ms,1758346236543000000,1758346255247000000,20
jps.global.get.library.ms,1758346236543000000,1758346255247000000,0
workspaceModel.mutableEntityStorage.entities.ms,1758346236543000000,1758346255247000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1758346236543000000,1758346255247000000,0
workspaceModel.global.apply.state.to.project.ms,1758346236543000000,1758346255247000000,135
jps.global.handle.changed.events.ms,1758346236543000000,1758346255247000000,0
workspaceModel.load.cache.from.file.ms,1758346236543000000,1758346255247000000,123
workspaceModel.orphan.listener.update.ms,1758346236543000000,1758346255247000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1758346236543000000,1758346255247000000,0
